2026-03-04T15:12:41.311725Z | monitor_started | Engine monitor initialized
2026-03-04T15:12:41.386285Z | issues_detected | btc (tft-trading-engine-engine-btc-1): ['No trades for > 6 hours']
2026-03-04T15:13:21.553500Z | container_restarted | tft-trading-engine-engine-btc-1
2026-03-04T15:13:22.102852Z | trades_db_copied | eth: /app/state/eth/trades.db from /app/state/eth/tft_engine.db
2026-03-04T15:13:22.174006Z | issues_detected | eth (tft-trading-engine-engine-eth-1): ['No trades for > 6 hours']
2026-03-04T15:13:34.131267Z | container_restarted | tft-trading-engine-engine-eth-1
2026-03-04T15:13:34.612268Z | trades_db_copied | xrp: /app/state/xrp/trades.db from /app/state/xrp/tft_engine.db
2026-03-04T15:13:34.720832Z | issues_detected | xrp (tft-trading-engine-engine-xrp-1): ['log_match:CRITICAL', 'No trades for > 6 hours']
2026-03-04T15:13:40.879037Z | container_restarted | tft-trading-engine-engine-xrp-1
2026-03-04T15:13:40.975957Z | trades_db_copied | doge: /app/state/doge/trades.db from /app/state/doge/tft_engine.db
2026-03-04T15:13:41.020310Z | issues_detected | doge (tft-trading-engine-engine-doge-1): ['log_match:Model load failed', 'No trades for > 6 hours']
2026-03-04T15:13:47.078742Z | container_restarted | tft-trading-engine-engine-doge-1
2026-03-04T16:16:38.335824Z | monitor_started | Engine monitor initialized
2026-03-04T16:16:38.598925Z | trades_db_copied | btc: /app/state/btc/trades.db from /app/state/btc/tft_engine.db
2026-03-04T16:16:38.661231Z | healthy | btc (tft-trading-engine-engine-btc-1) healthy in last 30m
2026-03-04T16:16:38.891216Z | issues_detected | eth (tft-trading-engine-engine-eth-1): ['No trades for > 6 hours']
2026-03-04T16:17:14.120861Z | container_restarted | tft-trading-engine-engine-eth-1
2026-03-04T16:17:14.780912Z | issues_detected | xrp (tft-trading-engine-engine-xrp-1): ['No trades for > 6 hours']
2026-03-04T16:17:25.288058Z | container_restarted | tft-trading-engine-engine-xrp-1
2026-03-04T16:17:25.779554Z | issues_detected | doge (tft-trading-engine-engine-doge-1): ['log_match:Model load failed', 'No trades for > 6 hours']
2026-03-04T16:17:31.341652Z | container_restarted | tft-trading-engine-engine-doge-1
